gene_id	gene_symbol	chrom	start	end	build	source
ENSG00000186092	OR4F5	1	65417	71587	GRCh37	GENCODE_v50_basic
ENSG00000237683	AL627309.1	1	134899	139381	GRCh37	GENCODE_v50_basic
ENSG00000235249	OR4F29	1	367638	368636	GRCh37	GENCODE_v50_basic
ENSG00000284662	OR4F16	1	621094	622036	GRCh37	GENCODE_v50_basic
ENSG00000187634	SAMD11	1	859273	879972	GRCh37	GENCODE_v50_basic
ENSG00000188976	NOC2L	1	878905	896096	GRCh37	GENCODE_v50_basic
ENSG00000187961	KLHL17	1	895933	901103	GRCh37	GENCODE_v50_basic
ENSG00000187583	PLEKHN1	1	901815	911247	GRCh37	GENCODE_v50_basic
ENSG00000187642	PERM1	1	910572	917519	GRCh37	GENCODE_v50_basic
ENSG00000188290	HES4	1	934340	936207	GRCh37	GENCODE_v50_basic
ENSG00000187608	ISG15	1	936516	949922	GRCh37	GENCODE_v50_basic
ENSG00000188157	AGRN	1	955447	991501	GRCh37	GENCODE_v50_basic
ENSG00000237330	RNF223	1	1006345	1009688	GRCh37	GENCODE_v50_basic
ENSG00000131591	C1orf159	1	1017189	1051743	GRCh37	GENCODE_v50_basic
ENSG00000162571	TTLL10	1	1109258	1133322	GRCh37	GENCODE_v50_basic
ENSG00000186891	TNFRSF18	1	1138886	1142196	GRCh37	GENCODE_v50_basic
ENSG00000186827	TNFRSF4	1	1146704	1149535	GRCh37	GENCODE_v50_basic
ENSG00000078808	SDF4	1	1152265	1176346	GRCh37	GENCODE_v50_basic
ENSG00000176022	B3GALT6	1	1167615	1170423	GRCh37	GENCODE_v50_basic
ENSG00000184163	C1QTNF12	1	1177824	1182316	GRCh37	GENCODE_v50_basic
ENSG00000160087	UBE2J2	1	1189285	1209859	GRCh37	GENCODE_v50_basic
ENSG00000162572	SCNN1D	1	1215814	1227411	GRCh37	GENCODE_v50_basic
ENSG00000131584	ACAP3	1	1227754	1244991	GRCh37	GENCODE_v50_basic
ENSG00000169972	PUSL1	1	1243925	1247061	GRCh37	GENCODE_v50_basic
ENSG00000127054	INTS11	1	1246963	1260070	GRCh37	GENCODE_v50_basic
ENSG00000224051	CPTP	1	1260134	1264279	GRCh37	GENCODE_v50_basic
ENSG00000169962	TAS1R3	1	1266653	1270696	GRCh37	GENCODE_v50_basic
ENSG00000107404	DVL1	1	1270653	1285344	GRCh37	GENCODE_v50_basic
ENSG00000162576	MXRA8	1	1288061	1297182	GRCh37	GENCODE_v50_basic
ENSG00000175756	AURKAIP1	1	1309088	1310903	GRCh37	GENCODE_v50_basic
ENSG00000221978	CCNL2	1	1321087	1336291	GRCh37	GENCODE_v50_basic
ENSG00000242485	MRPL20	1	1337285	1342688	GRCh37	GENCODE_v50_basic
